nom;mode;operateur
6564;Bus;Keolis Seine et Oise Est
6565;Bus;Keolis Seine et Oise Est
6566;Bus;Keolis Seine et Oise Est
6567;Bus;Keolis Seine et Oise Est
6568;Bus;Keolis Seine et Oise Est
6569;Bus;Keolis Seine et Oise Est
P;Bus;Transdev Brie et 2 Morin
3219;Bus;Francilité Grand Provinois
S2;Bus;RD Saclay
BUSRERB;Bus;SNCF
4332;Bus;Keolis Val d'Essonne Deux Vallées
30-21Est;Bus;Francilité Val Parisis
4272;Bus;TISSE
4345;Bus;Keolis Val d'Essonne Deux Vallées
9114;Bus;Transdev Cœur Essonne
DM151S;Bus;RD Saclay
4520;Bus;Transdev Cœur Essonne
4577;Bus;Transdev Cœur Essonne
4579;Bus;Transdev Cœur Essonne
34S2;Bus;Transdev Brie et 2 Morin
34S3;Bus;Transdev Brie et 2 Morin
DM152S;Bus;RD Saclay
BUS T1;Bus;RATP
95-15;Bus;Transdev Vexin
86;Bus;RATP
95-50;Bus;Transdev Vexin
95-49;Bus;Transdev Vexin
95-51;Bus;Transdev Vexin
87;Bus;RATP
4535;Bus;Transdev Cœur Essonne
TàD;Bus;Transdev Valmy
88;Bus;RATP
M;Bus;Autocars Dominique
6214;Bus;Transdev Versailles
3425;Bus;Transdev Pays de Fontainebleau
193;Bus;RATP
89;Bus;RATP
3427;Bus;Transdev Pays de Fontainebleau
3426;Bus;Transdev Pays de Fontainebleau
TàD;Bus;Transdev Brie et 2 Morin
3660;Bus;Transdev Melun
3216;Bus;Francilité Grand Provinois
4456;Bus;Francilité Ouest Essonne
4458;Bus;Francilité Ouest Essonne
2245;Bus;Transdev Marne-la-Vallée
91;Bus;RATP
92;Bus;RATP
469;Bus;Mobicité
GPSO Bus;Bus;Mobicité
ChavilBus;Bus;Mobicité
21s;Bus;Transdev Boucle des Lys
93;Bus;RATP
3144;Bus;Keolis Portes et Val de Brie
5310;Bus;Transdev Sud Yvelines
263;Bus;RATP
94;Bus;RATP
6;Bus;RD Saclay
95;Bus;RATP
8AS;Bus;Transdev Brie et 2 Morin
445;Bus;Transdev Côteaux de la Marne
18;Bus;RD Saclay
56;Bus;Keolis Argenteuil Boucles de Seine
57;Bus;Keolis Argenteuil Boucles de Seine
96;Bus;RATP
Soir;Bus;Transdev Marne-et-Ourcq
Soir;Bus;Transdev Boucle des Lys
101;Bus;RATP
102;Bus;RATP
TàD 4305;Bus;Keolis Val d'Essonne Deux Vallées
TàD 4301;Bus;Keolis Val d'Essonne Deux Vallées
E;Bus;Autocars Dominique
103;Bus;RATP
Y;Bus;Autocars Dominique
104;Bus;RATP
Z;Bus;Autocars Dominique
T;Bus;Autocars Dominique
105;Bus;RATP
U;Bus;Autocars Dominique
V;Bus;Autocars Dominique
TàD;Bus;Transdev Boucle des Lys
Q;Bus;Autocars Dominique
Soir;Bus;Keolis Vélizy Vallée de la Bièvre
CitéVal;Bus;Francilité Val Parisis
106;Bus;RATP
3113;Bus;Keolis Portes et Val de Brie
3116;Bus;Keolis Portes et Val de Brie
107;Bus;RATP
TàD;Bus;Keolis Portes et Val de Brie
Soir;Bus;Keolis Portes et Val de Brie
N155;Bus;Keolis Seine et Oise Est
108;Bus;RATP
109;Bus;RATP
110;Bus;RATP
111;Bus;RATP
6521;Bus;Keolis Seine et Oise Est
6522;Bus;Keolis Seine et Oise Est
5444;Bus;RD Mantois
5445;Bus;RD Mantois
6573;Bus;Keolis Seine et Oise Est
6511;Bus;Keolis Seine et Oise Est
5314;Bus;Transdev Sud Yvelines
6217;Bus;Transdev Versailles
7819;Bus;Keolis Seine et Oise Est
6593;Bus;Keolis Seine et Oise Est
6533;Bus;Keolis Seine et Oise Est
6526;Bus;Keolis Seine et Oise Est
5484;Bus;RD Mantois
5341;Bus;Transdev Sud Yvelines
